preset,mode,freq_hz,level_dbu,amplitude,thd_percent,gain_db,h1_db,h2_db,h3_db,h4_db,h5_db,h6_db,h7_db,h8_db,h9_db,h10_db
JT11ELCF,Realtime,1.000000e+03,4.000000e+00,1.584893e-01,4.688631e+00,-1.288189e+00,-1.729736e+01,-9.984301e+01,-4.391037e+01,-9.841167e+01,-6.501394e+01,-1.004264e+02,-8.508629e+01,-1.032241e+02,-1.014860e+02,-9.990000e+02
JT11ELCF,Realtime,5.000000e+01,4.000000e+00,1.584893e-01,4.861960e+00,-1.276129e+00,-1.729828e+01,-6.682268e+01,-4.362122e+01,-7.588808e+01,-6.516755e+01,-7.701818e+01,-7.521421e+01,-9.085967e+01,-8.140620e+01,-9.990000e+02
JT11ELCF,Realtime,2.000000e+01,4.000000e+00,1.584893e-01,4.468517e+00,-1.274473e+00,-1.725714e+01,-5.977423e+01,-4.448638e+01,-6.648354e+01,-6.295255e+01,-7.204847e+01,-7.153492e+01,-7.462259e+01,-8.255840e+01,-9.990000e+02
JT11ELCF,Realtime,2.000000e+01,2.400000e+01,1.584893e+00,2.353898e+01,-1.144254e+01,-7.662893e+00,-4.861619e+01,-2.155657e+01,-5.517975e+01,-2.753525e+01,-5.971720e+01,-3.295877e+01,-6.082770e+01,-3.669498e+01,-9.990000e+02
JT11ELCF,Physical,1.000000e+03,4.000000e+00,1.736171e+00,2.061586e-02,-4.422024e-02,4.747871e+00,-7.567733e+01,-7.627852e+01,-7.663790e+01,-7.777494e+01,-7.839993e+01,-7.959026e+01,-8.114205e+01,-8.328379e+01,-9.990000e+02
JT11ELCF,Physical,5.000000e+01,4.000000e+00,1.736171e+00,4.387331e-01,-4.439282e-02,4.764114e+00,-4.353399e+01,-5.201235e+01,-6.082044e+01,-5.506610e+01,-5.902505e+01,-6.749179e+01,-6.003573e+01,-6.170097e+01,-9.990000e+02
JT11ELCF,Physical,2.000000e+01,4.000000e+00,1.736171e+00,1.154193e+00,-4.612525e-02,4.707318e+00,-3.540485e+01,-4.227327e+01,-5.608826e+01,-4.761532e+01,-4.825146e+01,-5.675173e+01,-5.544981e+01,-5.168547e+01,-9.990000e+02
JT11ELCF,Physical,2.000000e+01,2.400000e+01,1.736171e+01,1.151606e+00,-4.162596e-02,2.471180e+01,-1.539927e+01,-2.237644e+01,-3.611111e+01,-2.771617e+01,-2.824306e+01,-3.671539e+01,-3.544253e+01,-3.167217e+01,-9.990000e+02
