preset,mode,freq_hz,level_dbu,amplitude,thd_percent,gain_db,h1_db,h2_db,h3_db,h4_db,h5_db,h6_db,h7_db,h8_db,h9_db,h10_db
JT11ELCF,Realtime,1.000000e+03,4.000000e+00,1.584893e-01,4.688631e+00,-1.288189e+00,-1.729736e+01,-9.984301e+01,-4.391037e+01,-9.841167e+01,-6.501394e+01,-1.004264e+02,-8.508629e+01,-1.032241e+02,-1.014860e+02,-9.990000e+02
JT11ELCF,Realtime,5.000000e+01,4.000000e+00,1.584893e-01,4.861960e+00,-1.276129e+00,-1.729828e+01,-6.682268e+01,-4.362122e+01,-7.588808e+01,-6.516755e+01,-7.701818e+01,-7.521421e+01,-9.085967e+01,-8.140620e+01,-9.990000e+02
JT11ELCF,Realtime,2.000000e+01,4.000000e+00,1.584893e-01,4.468517e+00,-1.274473e+00,-1.725714e+01,-5.977423e+01,-4.448638e+01,-6.648354e+01,-6.295255e+01,-7.204847e+01,-7.153492e+01,-7.462259e+01,-8.255840e+01,-9.990000e+02
JT11ELCF,Realtime,2.000000e+01,2.400000e+01,1.584893e+00,2.353898e+01,-1.144254e+01,-7.662893e+00,-4.861619e+01,-2.155657e+01,-5.517975e+01,-2.753525e+01,-5.971720e+01,-3.295877e+01,-6.082770e+01,-3.669498e+01,-9.990000e+02
JT11ELCF,Physical,1.000000e+03,4.000000e+00,1.736171e+00,2.027960e-02,-4.422330e-02,4.747868e+00,-7.567740e+01,-7.671613e+01,-7.663766e+01,-7.803518e+01,-7.840003e+01,-7.988538e+01,-8.114200e+01,-8.342770e+01,-9.990000e+02
JT11ELCF,Physical,5.000000e+01,4.000000e+00,1.736171e+00,4.387628e-01,-4.439519e-02,4.764112e+00,-4.353410e+01,-5.200852e+01,-6.082065e+01,-5.506162e+01,-5.902502e+01,-6.747333e+01,-6.003579e+01,-6.170463e+01,-9.990000e+02
JT11ELCF,Physical,2.000000e+01,4.000000e+00,1.736171e+00,1.154233e+00,-4.612959e-02,4.707314e+00,-3.540470e+01,-4.227232e+01,-5.608651e+01,-4.761391e+01,-4.825125e+01,-5.675541e+01,-5.544942e+01,-5.168668e+01,-9.990000e+02
JT11ELCF,Physical,2.000000e+01,2.400000e+01,1.736171e+01,1.151571e+00,-4.163031e-02,2.471180e+01,-1.539951e+01,-2.237666e+01,-3.611181e+01,-2.771649e+01,-2.824377e+01,-3.671600e+01,-3.544255e+01,-3.167284e+01,-9.990000e+02
